"contest_id","year","party","endorsee","endorser_name","endorser_description","endorser_party_note","state","district","date_raw","note","switch_direction","switch_candidate","evidence_url","parsed_ok","raw_text"
"2008D",2008,"D","EDWARDS","Fresno Bee","Newspaper",,,,"01/23/08","then Obama on 01/30/08 after Edwards withdrew",,,,TRUE,"Fresno Bee (01/23/08 then Obama on 01/30/08 after Edwards withdrew)"
"2008R",2008,"R","McCAIN","Fresno Bee","Newspaper",,,,"01/23/08",,,,,TRUE,"Fresno Bee (01/23/08)"
"2008R",2008,"R","McCAIN","La Opinión","Newspaper",,,,"02/02/08",,,,,TRUE,"La Opinión (02/02/08)"
"2008R",2008,"R","McCAIN","Los Angeles Daily News, Inland Valley Daily Bulletin","Newspaper",,,,"01/27/08","Ontario",,,,TRUE,"Los Angeles Daily News, Inland Valley Daily Bulletin [Ontario] (01/27/08)"
"2008R",2008,"R","McCAIN","Los Angeles Times","Newspaper",,,,"02/03/08",,,,,TRUE,"Los Angeles Times (02/03/08)"
"2008R",2008,"R","McCAIN","Modesto Bee","Newspaper",,,,"01/25/08",,,,,TRUE,"Modesto Bee (01/25/08)"
"2008R",2008,"R","McCAIN","Oakland Tribune, Contra Costa Times","Newspaper",,,,"02/01/08",,,,,TRUE,"Oakland Tribune, Contra Costa Times (02/01/08)"
"2008R",2008,"R","McCAIN","Palm Springs Desert Sun","Newspaper",,,,"01/24/08",,,,,TRUE,"Palm Springs Desert Sun (01/24/08)"
"2008R",2008,"R","McCAIN","Riverside Press-Enterprise","Newspaper",,,,"01/05/08",,,,,TRUE,"Riverside Press-Enterprise (01/05/08)"
"2008R",2008,"R","McCAIN","Sacramento Bee","Newspaper",,,,"01/19/08",,,,,TRUE,"Sacramento Bee (01/19/08)"
"2008R",2008,"R","McCAIN","San Francisco Chronicle","Newspaper",,,,"01/28/08",,,,,TRUE,"San Francisco Chronicle (01/28/08)"
"2008R",2008,"R","McCAIN","San Jose Mercury News","Newspaper",,,,"01/25/08",,,,,TRUE,"San Jose Mercury News (01/25/08)"
"2008R",2008,"R","McCAIN","Santa Cruz Sentinel","Newspaper",,,,"01/25/08",,,,,TRUE,"Santa Cruz Sentinel (01/25/08)"
"2008R",2008,"R","McCAIN","Stockton Record","Newspaper",,,,"01/27/08",,,,,TRUE,"Stockton Record (01/27/08)"
"2008R",2008,"R","McCAIN","Pasadena Star-News, San Gabriel Valley Tribune, Whittier Daily News","Newspaper",,,,"01/ / 08",,,,,TRUE,"Pasadena Star-News, San Gabriel Valley Tribune, Whittier Daily News (01/ / 08)"
"2008R",2008,"R","McCAIN","Chico News & Review","Newspaper",,,,"01/24/08",,,,,TRUE,"Chico News & Review (01/24/08)"
"2008R",2008,"R","McCAIN","Asian Week","Newspaper",,,,"02/01/08",,,,,TRUE,"Asian Week (02/01/08)"
"2008R",2008,"R","PAUL","Marin Pacific Sun","Newspaper - Weekly",,,,"01/24/08",,,,,TRUE,"Marin Pacific Sun (01/24/08)"
