contest_id,year,party,endorsee,endorser_name,endorser_description,endorser_party_note,state,district,date_raw,note,switch_direction,switch_candidate,evidence_url,parsed_ok,raw_text
2008R,2008,R,McCain,John Shadegg,U.S. Representative,,AZ,3,,"The Hill reports Jan. 10, 2007 that ""he hads been buttonholing fellow House Republicans on the Arizona senator's behalf""",,,,TRUE,"U.S. Rep. John Shadegg (AZ-3) (The Hill reports Jan. 10, 2007 that ""he hads been buttonholing fellow House Republicans on the Arizona senator's behalf"")"
2008R,2008,R,McCain,Jeff Flake,U.S. Representative,,AZ,6,"Dec. 28, 2006",reported in Arizona Republic,,,,TRUE,"U.S. Rep. Jeff Flake (AZ-6) (Dec. 28, 2006; reported in Arizona Republic)"
2008R,2008,R,McCain,Dan Lungren,U.S. Representative,,CA,3,"Jan. 31, 2007",,,,,TRUE,"U.S. Rep. Dan Lungren (CA-3) (Jan. 31, 2007)"
2008R,2008,R,McCain,Darrell Issa,U.S. Representative,,CA,49,"Feb. 2, 2008",,,,,TRUE,"U.S. Rep. Darrell Issa (CA-49) (Feb. 2, 2008)"
2008R,2008,R,McCain,Christopher Shays,U.S. Representative,,CT,4,"Feb. 8, 2007",,,,,TRUE,"U.S. Rep. Christopher Shays (CT-4) (Feb. 8, 2007)"
2008R,2008,R,McCain,Mike Castle,U.S. Representative,,DE,,"Feb. 20, 2007",,,,,TRUE,"U.S. Rep. Mike Castle (DE) (Feb. 20, 2007)"
2008R,2008,R,McCain,Jeff Miller,U.S. Representative,,FL,1,"Jan. 24, 2008",,,,,TRUE,"U.S. Rep. Jeff Miller (FL-1) (Jan. 24, 2008)"
2008R,2008,R,McCain,Ric Keller,U.S. Representative,,FL,8,"Feb. 6, 2007",,,,http://p2008.org/cands08/endorse/endrk020607.html,TRUE,"U.S. Rep. Ric Keller (FL-8) (Feb. 6, 2007) +"
2008R,2008,R,McCain,Ileana Ros-Lehtinen,U.S. Representative,,FL,18,"Feb. 1, 2007",,,,http://p2008.org/cands08/endorse/endcuban020107.html,TRUE,"U.S. Rep. Ileana Ros-Lehtinen (FL-18) (Feb. 1, 2007) +"
2008R,2008,R,McCain,Lincoln Diaz-Balart,U.S. Representative,,FL,21,"Feb. 1, 2007",,,,,TRUE,"U.S. Rep. Lincoln Diaz-Balart (FL-21) (Feb. 1, 2007)"
2008R,2008,R,McCain,Mario Diaz-Balart,U.S. Representative,,FL,25,"Feb. 1, 2007",,,,,TRUE,"U.S. Rep. Mario Diaz-Balart (FL-25) (Feb. 1, 2007)"
