"contest_id","year","party","endorsee","endorser_name","endorser_description","endorser_party_note","state","district","date_raw","note","switch_direction","switch_candidate","evidence_url","parsed_ok","raw_text"
"2012R",2012,"R",,,"Newspaper",,,,,,,,,FALSE,"[UNMATCHED] National Review - not Gingrich"
"2012R",2012,"R","Ron Paul","The Daily Iowan","Newspaper",,,,"Dec. 12, 2011","the University of Iowa student newspaper",,,"dailyiowan121211.html",TRUE,"The Daily Iowan ...the University of Iowa student newspaper (Dec. 12, 2011)"
"2012R",2012,"R","Mitt Romney","Quad-City Times","Newspaper",,,,"Jan. 1, 2012",,,,"qctimes010112.html",TRUE,"Quad-City Times (Jan. 1, 2012)"
"2012R",2012,"R","Mitt Romney","Waterloo Cedar Falls Courier","Newspaper",,,,"Jan. 1, 2012","more of a push than an official endorsement",,,"wcfcourier010112.html",TRUE,"Waterloo Cedar Falls Courier (Jan. 1, 2012...more of a push than an official endorsement)"
"2012R",2012,"R","Mitt Romney","Iowa City Press-Citizen","Newspaper",,,,"Dec. 28, 2011",,,,"presscitizen122811.html",TRUE,"Iowa City Press-Citizen (Dec. 28, 2011)"
"2012R",2012,"R","Mitt Romney","Des Moines Register","Newspaper",,,,"Dec. 18, 2011",,,,"dmr121811.html",TRUE,"Des Moines Register (Dec. 18, 2011)"
"2012R",2012,"R","Mitt Romney","Sioux City Journal","Newspaper",,,,"Dec. 4, 2011",,,,"scjournal120411.html",TRUE,"Sioux City Journal (Dec. 4, 2011)"
"2012R",2012,"R","Newt Gingrich","New Hampshire Union Leader","Newspaper",,,,"Nov. 27, 2011",,,,"https://www.p2012.org/media/newspendorse/unionleader112711.html",TRUE,"New Hampshire Union Leader (Nov. 27, 2011)"
"2012R",2012,"R","Jon Huntsman","Laconia Citizen","Newspaper",,,,"Jan. 6, 2012",,,,"citizen010612.html",TRUE,"Laconia Citizen (Jan. 6, 2012)"
"2012R",2012,"R","Jon Huntsman","Boston Globe","Newspaper",,"MA",,"Jan. 6, 2012",,,,,TRUE,"Boston Globe [MA] (Jan. 6, 2012)"
"2012R",2012,"R","Jon Huntsman","Eagle Times","Newspaper",,,,"Jan. 5, 2012","Claremont",,,"eagletimes010512.html",TRUE,"Eagle Times [Claremont] (Jan. 5, 2012)"
"2012R",2012,"R","Jon Huntsman","The New Hampshire","Newspaper",,,,"Jan. 5, 2012","UNH student newspaper",,,"tnh010512.html",TRUE,"The New Hampshire ...UNH student newspaper (Jan. 5, 2012)"
"2012R",2012,"R","Jon Huntsman","Monadnock Ledger-Transcript","Newspaper",,,,"Dec. 28, 2011",,,,"monadnocklt122811.html",TRUE,"Monadnock Ledger-Transcript (Dec. 28, 2011)"
"2012R",2012,"R","Jon Huntsman","Concord Monitor","Newspaper",,,,"Dec. 22, 2011",,,,"concordmonitor122211.html",TRUE,"Concord Monitor (Dec. 22, 2011)"
"2012R",2012,"R","Jon Huntsman","Keene Sentinel","Newspaper",,,,"Dec. 18, 2011",,,,"keenesentinel121811.html",TRUE,"Keene Sentinel (Dec. 18, 2011)"
"2012R",2012,"R","Jon Huntsman","The Valley News","Newspaper",,,,"Dec. 18, 2011",,,,"valleynews121811.html",TRUE,"The Valley News (Dec. 18, 2011)"
"2012R",2012,"R","Mitt Romney","Eagle-Tribune","Newspaper",,"MA",,"Jan. 6, 2012","North Andover",,,"eagletribune010612.html",TRUE,"Eagle-Tribune [North Andover, MA] (Jan. 6, 2012)"
"2012R",2012,"R","Mitt Romney","Nashua Telegraph","Newspaper",,,,"Jan. 5, 2012",,,,"nashuatelegraph010512.html",TRUE,"Nashua Telegraph (Jan. 5, 2012)"
"2012R",2012,"R","Mitt Romney","The Weirs Times","Newspaper",,,,"Dec. 29, 2011",,,,"weirstimes122911.html",TRUE,"The Weirs Times (Dec. 29, 2011)"
"2012R",2012,"R","Mitt Romney","Boston Herald","Newspaper",,"MA",,"Dec. 28, 2011",,,,"bostonherald122811.html",TRUE,"Boston Herald [MA] (Dec. 28, 2011)"
"2012R",2012,"R","Mitt Romney","Conway Daily Sun","Newspaper",,,,"Dec. 22, 2011",,,,,TRUE,"Conway Daily Sun (Dec. 22, 2011)"
"2012R",2012,"R","Mitt Romney","Seacoast Media Group - Portsmouth Herald, Hampton Union and Exeter News-Letter","Newspaper",,,,"Dec. 18, 2011",,,,,TRUE,"Seacoast Media Group - Portsmouth Herald, Hampton Union and Exeter News-Letter (Dec. 18, 2011)"
"2012R",2012,"R","Mitt Romney","Foster's Daily Democrat","Newspaper",,,,"Dec. 4, 2011",,,,"fosters120411.html",TRUE,"Foster's Daily Democrat (Dec. 4, 2011)"
"2012R",2012,"R","Jon Huntsman","The State","Newspaper",,,,"Jan. 15, 2012","Columbia; out Jan. 16",,,"thestate011512.html",TRUE,"The State [Columbia] (Jan. 15, 2012)...out Jan. 16"
"2012R",2012,"R","Mitt Romney","The Post and Courier","Newspaper",,,,"Jan. 20, 2012",,,,"postandcourier012012.html",TRUE,"The Post and Courier (Jan. 20, 2012)"
"2012R",2012,"R","Mitt Romney","The Herald","Newspaper",,,,"Jan. 19, 2012","Rock Hill",,,,TRUE,"The Herald [Rock Hill] (Jan. 19, 2012)"
"2012R",2012,"R","Mitt Romney","The State","Newspaper",,,,"Jan. 19, 2012","Columbia",,,"thestate011912.html",TRUE,"The State [Columbia] (Jan. 19, 2012)"
"2012R",2012,"R","Mitt Romney","Spartanburg Herald-Journal","Newspaper",,,,"Jan. 17, 2012",,,,,TRUE,"Spartanburg Herald-Journal (Jan. 17, 2012)"
"2012R",2012,"R","Mitt Romney","Greenville News","Newspaper",,,,"Jan. 15, 2012",,,,,TRUE,"Greenville News (Jan. 15, 2012)"
"2012R",2012,"R","Mitt Romney","Charlotte Observer","Newspaper",,"NC",,"Jan. 15, 2012",,,,"charlotteobserver011512.html",TRUE,"Charlotte Observer [NC] (Jan. 15, 2012)"
"2012R",2012,"R","Newt Gingrich","Tampa Tribune","Newspaper",,,,"Jan. 29, 2012",,,,"http://www2.tbo.com/news/opinion/2012/jan/29/vwopino1-gingrich-in-gop-primary-ar-352239/",TRUE,"Tampa Tribune (Jan. 29, 2012) +"
"2012R",2012,"R","Mitt Romney","Orlando Sentinel","Newspaper",,,,"Jan. 25, 2012",,,,"http://www.orlandosentinel.com/news/opinion/os-ed-gop-primary-endorsement-012512-20120124,0,7675538.story",TRUE,"Orlando Sentinel (Jan. 25, 2012) +"
"2012R",2012,"R","Mitt Romney","Pensacola News Journal","Newspaper",,,,"Jan. 22, 2012",,,,"http://www.pnj.com/article/20120122/OPINION/201220308/For-GOP-nomination-Mitt-Romney",TRUE,"Pensacola News Journal (Jan. 22, 2012) +"
"2012R",2012,"R","Mitt Romney","Tampa Bay Times","Newspaper",,,,"Jan. 17, 2012",,,,"http://www.tampabay.com/opinion/editorials/article1210848.ece",TRUE,"Tampa Bay Times (Jan. 17, 2012) +"
"2012R",2012,"R","Ron Paul","The Independent Florida Alligator","Newspaper",,,,"Jan. 25, 2012","University of Florida student newspaper; Gainesville",,,"http://www.alligator.org/opinion/editorials/article_ffe61da4-470a-11e1-b4f0-0019bb2963f4.html",TRUE,"The Independent Florida Alligator ...University of Florida (Gainesville) student newspaper (Jan. 25, 2012) +"
"2012R",2012,"R","Mitt Romney","Reno Gazette-Journal","Newspaper",,,,"Feb. 3, 2012",,,,"rgj020312.html",TRUE,"Reno Gazette-Journal (Feb. 3, 2012)"
"2012R",2012,"R","Mitt Romney","Las Vegas Review-Journal","Newspaper",,,,"Jan. 29, 2012",,,,"lvrj012912.html",TRUE,"Las Vegas Review-Journal (Jan. 29, 2012)"
"2012R",2012,"R","Mitt Romney","Denver Post","Newspaper",,,,"Feb. 3, 2012",,,,,TRUE,"Denver Post (Feb. 3, 2012)"
"2012R",2012,"R","Mitt Romney","Arizona Republic","Newspaper",,,,"Feb. 24, 2012",,,,"http://www.azcentral.com/arizonarepublic/opinions/articles/2012/02/23/20120223editoriarl0224-romney-right-these-times.html",TRUE,"Arizona Republic (Feb. 24, 2012) +"
"2012R",2012,"R","Mitt Romney","Midland Daily News","Newspaper",,,,"Feb. 26, 2012",,,,"http://www.ourmidland.com/opinion/article_7ff8e090-609b-11e1-b91e-001871e3ce6c.html",TRUE,"Midland Daily News (Feb. 26, 2012) +"
"2012R",2012,"R","Mitt Romney","Detroit Free Press","Newspaper",,,,"Feb. 23, 2012",,,,"http://www.freep.com/article/20120223/OPINION01/120222077/Free-Press-endorsement-Mitt-Romney-is-best-but-we-urge-him-to-recapture-collaborative-spirit-GOP-primary-Michigan-Republican",TRUE,"Detroit Free Press (Feb. 23, 2012) +"
"2012R",2012,"R","Mitt Romney","Grand Rapids Press","Newspaper",,,,"Feb. 22, 2012",,,,"http://www.mlive.com/opinion/grand-rapids/index.ssf/2012/02/grand_rapids_editorial_mitt_ro.html",TRUE,"Grand Rapids Press (Feb. 22, 2012) +"
"2012R",2012,"R","Mitt Romney","Detroit News","Newspaper",,,,"Feb. 22, 2012",,,,"http://www.detroitnews.com/article/20120222/OPINION01/202220315/1022/politics/Detroit-News-endorsement-Mitt-Romney-Michigan-GOP-primary",TRUE,"Detroit News (Feb. 22, 2012) +"
"2012R",2012,"R","Mitt Romney","Oakland Press","Newspaper",,,,"Feb. 21, 2012",,,,"http://www.theoaklandpress.com/articles/2012/02/21/opinion/doc4f43d95e993d2684728787.txt",TRUE,"Oakland Press (Feb. 21, 2012) +"
"2012R",2012,"R","Ron Paul","Arab American News","Newspaper",,,,"Feb. 24, 2012",,,,"arabamericannews022412.html",TRUE,"Arab American News (Feb. 24, 2012)"
"2012R",2012,"R","Mitt Romney","Albany Herald","Newspaper",,,,"March 3, 2012",,,,,TRUE,"Albany Herald (March 3, 2012)"
"2012R",2012,"R","Mitt Romney","Savannah Morning News","Newspaper",,,,"March 1, 2012",,,,,TRUE,"Savannah Morning News (March 1, 2012)"
"2012R",2012,"R","Mitt Romney","New Philadelphia Times-Reporter","Newspaper",,,,"March 4, 2012",,,,,TRUE,"New Philadelphia Times-Reporter (March 4, 2012)"
"2012R",2012,"R","Mitt Romney","Cincinnati Enquirer","Newspaper",,,,"March 3, 2012",,,,,TRUE,"Cincinnati Enquirer (March 3, 2012)"
"2012R",2012,"R","Mitt Romney","Cleveland Plain-Dealer","Newspaper",,,,"March 3, 2012",,,,,TRUE,"Cleveland Plain-Dealer (March 3, 2012)"
"2012R",2012,"R","Mitt Romney","Columbus Dispatch","Newspaper",,,,"Feb. 5, 2012",,,,,TRUE,"Columbus Dispatch (Feb. 5, 2012)"
"2012R",2012,"R","Mitt Romney","The Oklahoman","Newspaper",,,,"Dec. 18, 2011",,,,,TRUE,"The Oklahoman (Dec. 18, 2011)"
"2012R",2012,"R","Mitt Romney","Times Daily","Newspaper",,,,"March 9, 2012","Florence",,,,TRUE,"Times Daily (Florence) (March 9, 2012)"
"2012R",2012,"R","Mitt Romney","Birmingham News","Newspaper",,,,"March 7, 2012",,,,,TRUE,"Birmingham News (March 7, 2012)"
"2012R",2012,"R","Mitt Romney","Peoria Journal Star","Newspaper",,,,"March 18, 2012",,,,,TRUE,"Peoria Journal Star (March 18, 2012)"
"2012R",2012,"R","Mitt Romney","Chicago Tribune","Newspaper",,,,"March 17, 2012","online March 16",,,,TRUE,"Chicago Tribune (March 17, 2012; online March 16)"
"2012R",2012,"R","Mitt Romney","Daily Herald","Newspaper",,,,"March 4, 2012","Arlington Heights",,,,TRUE,"Daily Herald [Arlington Heights] (March 4, 2012)"
"2012R",2012,"R","Mitt Romney","Milwaukee Journal Sentinel","Newspaper",,,,"April 1, 2012","online March 31",,,"http://www.jsonline.com/news/opinion/romneys-pragmatism-makes-him-the-best-pick-e24q8uu-145232155.html",TRUE,"Milwaukee Journal Sentinel (April 1, 2012; online March 31) +"
