"contest_id","year","party","endorsee","endorser_name","endorser_description","endorser_party_note","state","district","date_raw","note","switch_direction","switch_candidate","evidence_url","parsed_ok","raw_text"
"2008D",2008,"D","Clinton","American Nurses Association","National Organization",,,,"Jan. 25, 2008",,,,"http://p2008.org/cands08/endorse/ana012508pr.html",TRUE,"American Nurses Association (Jan. 25, 2008)"
"2008D",2008,"D","Clinton","Women's Campaign Forum","National Organization",,,,"May 18, 2007",,,,"http://p2008.org/cands08/endorse/wcf051807pr.html",TRUE,"Women's Campaign Forum (May 18, 2007)"
"2008D",2008,"D","Clinton","National Women's Political Caucus","National Organization",,,,"April 2007",,,,,TRUE,"National Women's Political Caucus (April 2007)"
"2008D",2008,"D","Clinton","National Organization for Women PAC","National Organization",,,,"March 28, 2007",,,,"http://p2008.org/cands08/endorse/nowpac032807pr.html",TRUE,"National Organization for Women PAC (March 28, 2007)"
"2008D",2008,"D","Clinton","EMILY'S List","National Organization",,,,"Jan. 20, 2007",,,,"http://p2008.org/cands08/endorse/emilys012007pr.html",TRUE,"EMILY'S List (Jan. 20, 2007)"
"2008D",2008,"D","Edwards","Friends of Earth Action","National Organization",,,,"Oct. 14, 2007",,,,"http://p2008.org/cands08/endorse/foea101407pr.html",TRUE,"Friends of Earth Action (Oct. 14, 2007)"
"2008D",2008,"D","Obama","NARAL Pro-Choice America","National Organization",,,,"May 14, 2008",,,,"http://p2008.org/interestg08/naral051408pr.html",TRUE,"NARAL Pro-Choice America (May 14, 2008)"
"2008D",2008,"D","Obama","American Hunters and Shooters Association","National Organization",,,,"April 16, 2008",,,,"http://p2008.org/cands08/endorse/ahsa041608pr.html",TRUE,"American Hunters and Shooters Association (April 16, 2008)"
"2008D",2008,"D","Obama","American Small Business League","National Organization",,,,"Feb. 26, 2008",,,,"http://p2008.org/cands08/endorse/asbl022608pr.html",TRUE,"American Small Business League (Feb. 26, 2008)"
"2008D",2008,"D","Obama","MoveOn.org Political Action","National Organization",,,,"Feb. 1, 2008",,,,"http://p2008.org/cands08/endorse/moveon020108pr.html",TRUE,"MoveOn.org Political Action (Feb. 1, 2008)"
"2008D",2008,"D","Obama","Armenian National Committee of America","National Organization",,,,"Jan. 30, 2008",,,,"http://p2008.org/cands08/endorse/anca013008pr.html",TRUE,"Armenian National Committee of America (Jan. 30, 2008)"
"2008R",2008,"R","Giuliani","U.S. Airport and Seaport Police, a member of the International Association of Airport and Seaport Police","National Organization",,,,"Sept. 7, 2007","IAASP",,,"http://p2008.org/giuliani/giuliani090707pr.html",TRUE,"U.S. Airport and Seaport Police, a member of the International Association of Airport and Seaport Police (IAASP) (Sept. 7, 2007)"
"2008R",2008,"R","Huckabee","Home School Legal Defense Association","National Organization",,,,"June 20, 2007",,,,"http://p2008.org/cands08/endorse/hslda062007.html",TRUE,"Home School Legal Defense Association (June 20, 2007)"
"2008R",2008,"R","McCain","Republicans for Environmental Protection","National Organization",,,,"Oct. 14, 2007","REP",,,"http://p2008.org/cands08/endorse/rep101407pr.html",TRUE,"Republicans for Environmental Protection (REP) (Oct. 14, 2007)"
"2008R",2008,"R","F.Thompson","National Right to Life","National Organization",,,,"Nov. 13, 2007",,,,"http://p2008.org/cands08/endorse/nrtl111307pr.html",TRUE,"National Right to Life (Nov. 13, 2007)"
